ep,q
0,28577.79600279026
1,48727.21227626001
2,66600.18031847963
3,83014.39882913364
4,98425.14651469309
5,112171.60171679434
6,125305.18242929064
7,137030.23400912655
8,147731.60790684895
9,157929.927430342
10,167490.6149125165
11,176329.47176945832
12,184882.72343016497
13,192356.0648739563
14,199184.5606099908
15,206122.05506456288
16,212102.83979765035
17,218909.17260823306
18,224193.98432547314
19,229941.89329967595
20,235156.61713488595
21,239914.5648943744
22,245477.4425587324
23,250077.69195650093
24,254764.1629976921
25,259917.42439842407
26,264439.96392822283
27,269782.9744533904
28,274760.49566059606
29,278355.17175355926
30,281826.7409298153
31,285673.16409196483
32,289904.1541736976
33,293884.29565802333
34,297366.53651826765
35,300391.2206444273
36,303753.0144216319
37,307216.2108348961
38,311147.6868046512
39,315070.47555712244
40,318524.6289788485
41,321562.87544505566
42,323887.38034958113
43,326435.43666967464
44,329979.4863352177
45,333510.739895829
46,337270.75907307916
47,341774.7672478468
48,345569.86774846376
49,348261.16024205065
